Dates,Sales,Sales First Difference,Seasonal First Difference,forecast
2012-06-01,11053,-1559.0,699.0,
2012-07-01,11920,867.0,731.0,
2012-08-01,11790,-130.0,326.0,
2012-09-01,11134,-656.0,-603.0,
2012-10-01,12413,1279.0,870.0,
2012-11-01,11986,-427.0,-371.0,
2012-12-01,9369,-2617.0,-2181.0,
2013-01-01,11639,2270.0,801.0,
2013-02-01,11322,-317.0,397.0,
2013-03-01,10735,-587.0,-2316.0,
2013-04-01,13988,3253.0,3112.0,
2013-05-01,12012,-1976.0,-600.0,
2013-06-01,10948,-1064.0,-105.0,
2013-07-01,11312,364.0,-608.0,
2013-08-01,11660,348.0,-130.0,
2013-09-01,12168,508.0,1034.0,
2013-10-01,12893,725.0,480.0,
2013-11-01,12079,-814.0,93.0,
2013-12-01,11395,-684.0,2026.0,
2014-01-01,11385,-10.0,-254.0,
2014-02-01,11246,-139.0,-76.0,
2014-03-01,13861,2615.0,3126.0,
2014-04-01,12115,-1746.0,-1873.0,
2014-05-01,12337,222.0,325.0,
2014-06-01,11441,-896.0,493.0,
2014-07-01,11690,249.0,378.0,
2014-08-01,11444,-246.0,-216.0,
2014-09-01,11585,141.0,-583.0,
2014-10-01,12963,1378.0,70.0,
2014-11-01,11486,-1477.0,-593.0,
2014-12-01,12649,1163.0,1254.0,
2015-01-01,10523,-2126.0,-862.0,
2015-02-01,10685,162.0,-561.0,
2015-03-01,14159,3474.0,298.0,
2015-04-01,12782,-1377.0,667.0,
2015-05-01,12036,-746.0,-301.0,
2015-06-01,14207,2171.0,2766.0,
2015-07-01,12394,-1813.0,704.0,
2015-08-01,12604,210.0,1160.0,
2015-09-01,12421,-183.0,836.0,
2015-10-01,13197,776.0,234.0,
2015-11-01,12600,-597.0,1114.0,
2015-12-01,13078,478.0,429.0,
2016-01-01,10991,-2087.0,468.0,
2016-02-01,12222,1231.0,1537.0,
2016-03-01,13875,1653.0,-284.0,
2016-04-01,14116,241.0,1334.0,
2016-05-01,12864,-1252.0,828.0,
2016-06-01,13681,817.0,-526.0,
2016-07-01,11040,-2641.0,-1354.0,
2016-08-01,13232,2192.0,628.0,
2016-09-01,13854,622.0,1433.0,
2016-10-01,11932,-1922.0,-1265.0,
2016-11-01,13194,1262.0,594.0,
2016-12-01,13602,408.0,524.0,
2017-01-01,13055,-547.0,2064.0,
2017-02-01,,,,12920.73234993598
2017-03-01,,,,14834.810813434346
2017-04-01,,,,14515.231099366156
2017-05-01,,,,14045.357415161257
2017-06-01,,,,14209.872440519443
2017-07-01,,,,13252.191828231073
2017-08-01,,,,13907.698970779706
2017-09-01,,,,14217.171072029374
2017-10-01,,,,13941.510701450645
2017-11-01,,,,14072.33559939914
2017-12-01,,,,14001.979778982977
2018-01-01,,,,13549.800438372582
2018-02-01,,,,13606.293083675891
2018-03-01,,,,15429.962401364648
2018-04-01,,,,15052.215284420727
2018-05-01,,,,14710.274297213839
2018-06-01,,,,14760.988453385884
2018-07-01,,,,14106.590186362127
2018-08-01,,,,14484.463740082567
2018-09-01,,,,14737.245236918303
2018-10-01,,,,14759.56194713456
2018-11-01,,,,14685.666871518963
2018-12-01,,,,14528.747946039048
